Group num: 0, TC(X;Y_j): 7.701
pink_2, 0.000
blue_8, 0.000
darkseagreen_6, 0.000
burlywood_2, 0.000
indianred_9, 0.000
orangered_5, 0.000
burlywood_1, 0.000
hotpink_3, 0.000
black_3, 0.000
mistyrose_10, 0.000
red_6, 0.000
tomato_8, 0.000
mistyrose_7, 0.000
black_4, 0.000
blue_0, 0.000
red_10, 0.000
darkolivegreen_7, 0.000
firebrick_4, 0.000
papayawhip_1, 0.000
red_5, 0.000
palegreen_2, 0.000
dimgray_0, 0.000
darkseagreen_5, 0.000
green_5, 0.000
blue_13, 0.000
green_9, 0.000
dimgray_2, 0.000
blue_6, 0.000
blue_1, 0.000
pink_7, 0.000
yellow_8, 0.000
darkolivegreen_10, 0.000
mistyrose_3, 0.000
pink_6, 0.000
yellow_6, 0.000
blue_11, 0.000
springgreen_2, 0.000
green_3, 0.000
peachpuff_3, 0.000
blanchedalmond_0, 0.000
mistyrose_9, 0.000
blue_7, 0.000
mistyrose_8, 0.000
chartreuse_1, 0.000
green_4, 0.000
hotpink_10, 0.000
blanchedalmond_2, 0.000
black_5, 0.000
aquamarine_2, 0.000
orangered_7, 0.000
firebrick_10, 0.000
pink_5, 0.000
burlywood_0, 0.000
red_2, 0.000
mistyrose_5, 0.000
blue_3, 0.000
pink_1, 0.000
green_7, 0.000
hotpink_4, 0.000
indianred_5, 0.000
gold_7, 0.000
hotpink_0, 0.000
seashell_3, 0.000
red_0, 0.000
indianred_11, 0.000
darkseagreen_4, 0.000
hotpink_8, 0.000
peachpuff_0, 0.000
red_9, 0.000
pink_4, 0.000
darkolivegreen_5, 0.000
firebrick_9, 0.000
pink_3, 0.000
burlywood_4, 0.000
burlywood_6, 0.000
mediumspringgreen_0, 0.000
red_1, 0.000
dimgray_1, 0.000
orangered_3, 0.000
darkolivegreen_8, 0.000
burlywood_5, 0.000
blue_2, 0.000
hotpink_1, 0.000
blue_9, 0.000
green_0, 0.000
darkseagreen_3, 0.000
orangered_1, 0.000
red_8, 0.000
blue_4, 0.000
hotpink_2, 0.000
burlywood_3, 0.000
red_14, 0.000
palegreen_0, 0.000
Y0, 0.000
peachpuff_2, 0.000
Group num: 2, TC(X;Y_j): 4.295
black_14, 1.495
black_8, 1.024
black_10, 0.946
black_11, 0.515
black_13, 0.465
black_9, 0.423
black_12, 0.282
black_2, 0.158
black_4, 0.131
black_1, 0.115
black_7, 0.095
black_0, 0.093
black_6, 0.021
black_3, 0.020
darkseagreen_1, 0.014
indigo_8, 0.011
mistyrose_7, 0.009
mistyrose_6, 0.009
mistyrose_0, 0.008
mistyrose_8, 0.008
mistyrose_10, 0.007
black_5, 0.007
pink_4, 0.006
indigo_11, 0.006
yellow_2, 0.005
pink_6, 0.005
dimgray_0, 0.005
hotpink_3, 0.004
indianred_5, 0.004
lightcoral_3, 0.004
darkseagreen_6, 0.004
indigo_4, 0.004
mistyrose_3, 0.004
dimgray_3, 0.004
indigo_1, 0.004
darkseagreen_5, 0.004
lightcoral_5, 0.004
dimgray_2, 0.004
yellow_3, 0.004
firebrick_10, 0.003
darkseagreen_9, 0.003
pink_3, 0.003
indigo_0, 0.003
blue_1, 0.003
green_6, 0.003
hotpink_2, 0.003
pink_8, 0.003
mistyrose_2, 0.003
darkolivegreen_6, 0.003
red_13, 0.003
yellow_12, 0.003
indianred_0, 0.003
indianred_10, 0.003
seashell_5, 0.003
indigo_9, 0.003
yellow_8, 0.003
firebrick_9, 0.003
darkseagreen_8, 0.003
pink_7, 0.003
dimgray_1, 0.003
green_5, 0.003
lightcoral_4, 0.003
green_4, 0.003
palegreen_0, 0.003
greenyellow_6, 0.002
pink_5, 0.002
mistyrose_5, 0.002
lightcoral_8, 0.002
green_0, 0.002
red_3, 0.002
chartreuse_1, 0.002
lightcoral_2, 0.002
lightcoral_6, 0.002
palegreen_1, 0.002
peachpuff_3, 0.002
hotpink_11, 0.002
palegreen_3, 0.002
red_1, 0.002
hotpink_8, 0.002
seashell_0, 0.002
greenyellow_2, 0.002
indigo_2, 0.002
lightcoral_0, 0.002
darkolivegreen_8, 0.002
darkolivegreen_9, 0.002
hotpink_6, 0.002
yellow_1, 0.002
yellow_7, 0.002
indianred_1, 0.002
darkseagreen_2, 0.002
mistyrose_4, 0.002
darkolivegreen_4, 0.002
green_10, 0.002
red_8, 0.001
yellow_11, 0.001
tomato_5, 0.001
indianred_7, 0.001
pink_2, 0.001
green_7, 0.001
green_2, 0.001
hotpink_10, 0.001
gold_2, 0.001
lightcoral_1, 0.001
darkslategrey_0, 0.001
hotpink_7, 0.001
indianred_3, 0.001
gold_9, 0.001
seashell_2, 0.001
darkolivegreen_0, 0.001
darkolivegreen_7, 0.001
lightcoral_7, 0.001
orangered_4, 0.001
greenyellow_3, 0.001
darkslategrey_1, 0.001
indigo_3, 0.001
green_13, 0.001
red_10, 0.001
blanchedalmond_0, 0.001
indigo_12, 0.001
gold_7, 0.001
gold_6, 0.001
darkolivegreen_3, 0.001
palegreen_5, 0.001
indigo_7, 0.001
tomato_3, 0.001
indigo_10, 0.001
red_14, 0.001
yellow_10, 0.001
darkolivegreen_5, 0.001
green_8, 0.001
pink_1, 0.001
red_9, 0.001
green_11, 0.001
blanchedalmond_1, 0.001
chartreuse_3, 0.001
gold_11, 0.001
orangered_2, 0.001
blue_9, 0.001
indianred_8, 0.001
mediumspringgreen_4, 0.001
darkseagreen_0, 0.001
greenyellow_4, 0.001
blue_4, 0.001
mediumspringgreen_1, 0.001
yellow_5, 0.001
gold_0, 0.001
orangered_7, 0.001
darkseagreen_3, 0.001
palegreen_2, 0.001
papayawhip_3, 0.001
pink_0, 0.001
springgreen_2, 0.001
hotpink_4, 0.001
red_6, 0.001
greenyellow_5, 0.001
green_3, 0.001
palegreen_6, 0.001
red_2, 0.000
tomato_1, 0.000
hotpink_1, 0.000
red_0, 0.000
tomato_2, 0.000
orangered_5, 0.000
firebrick_6, 0.000
burlywood_4, 0.000
springgreen_0, 0.000
gold_5, 0.000
seashell_4, 0.000
indigo_6, 0.000
green_12, 0.000
firebrick_1, 0.000
peachpuff_0, 0.000
palegreen_7, 0.000
darkseagreen_7, 0.000
darkolivegreen_10, 0.000
darkslategrey_2, 0.000
firebrick_5, 0.000
blue_5, 0.000
firebrick_0, 0.000
blue_6, 0.000
tomato_6, 0.000
yellow_9, 0.000
red_12, 0.000
aquamarine_1, 0.000
tomato_4, 0.000
orangered_1, 0.000
hotpink_5, 0.000
gold_1, 0.000
mistyrose_1, 0.000
gold_4, 0.000
chartreuse_2, 0.000
greenyellow_1, 0.000
gold_3, 0.000
greenyellow_0, 0.000
chartreuse_0, 0.000
aquamarine_2, 0.000
seashell_3, 0.000
firebrick_8, 0.000
mediumspringgreen_3, 0.000
darkslategrey_5, 0.000
yellow_6, 0.000
peachpuff_2, 0.000
green_9, 0.000
darkslategrey_6, 0.000
papayawhip_4, 0.000
pink_9, 0.000
tomato_8, 0.000
papayawhip_1, 0.000
seashell_1, 0.000
green_14, 0.000
orangered_6, 0.000
green_1, 0.000
burlywood_1, 0.000
blanchedalmond_2, 0.000
blue_2, 0.000
blue_13, 0.000
aquamarine_0, 0.000
blue_0, 0.000
darkseagreen_4, 0.000
burlywood_0, 0.000
darkolivegreen_2, 0.000
indianred_6, 0.000
firebrick_7, 0.000
yellow_0, 0.000
blue_11, 0.000
mistyrose_9, 0.000
blue_7, 0.000
gold_10, 0.000
darkslategrey_4, 0.000
peachpuff_1, 0.000
firebrick_2, 0.000
firebrick_3, 0.000
papayawhip_2, 0.000
hotpink_0, 0.000
darkslategrey_3, 0.000
indianred_2, 0.000
red_5, 0.000
red_7, 0.000
hotpink_9, 0.000
darkslategrey_7, 0.000
blue_12, 0.000
burlywood_3, 0.000
papayawhip_0, 0.000
burlywood_6, 0.000
darkolivegreen_1, 0.000
firebrick_11, 0.000
indianred_4, 0.000
springgreen_1, 0.000
blanchedalmond_3, 0.000
indianred_11, 0.000
indigo_5, 0.000
mediumspringgreen_2, 0.000
blue_3, 0.000
red_4, 0.000
tomato_7, 0.000
red_11, 0.000
burlywood_5, 0.000
palegreen_4, 0.000
tomato_0, 0.000
blue_10, 0.000
indianred_9, 0.000
mediumspringgreen_0, 0.000
yellow_4, 0.000
firebrick_4, 0.000
orangered_0, 0.000
burlywood_2, 0.000
orangered_3, 0.000
blue_8, 0.000
gold_12, 0.000
gold_8, 0.000
Y0, 0.000
Y1, 0.000
Group num: 3, TC(X;Y_j): 6.278
blue_2, 1.581
blue_7, 1.027
blue_9, 0.988
blue_3, 0.986
blue_8, 0.668
blue_11, 0.658
blue_6, 0.487
blue_0, 0.476
blue_12, 0.282
blue_13, 0.272
blue_5, 0.264
blue_10, 0.126
blue_1, 0.124
blue_4, 0.095
green_4, 0.007
mistyrose_0, 0.006
darkseagreen_2, 0.006
pink_1, 0.005
burlywood_3, 0.005
peachpuff_1, 0.004
black_11, 0.004
yellow_12, 0.004
pink_2, 0.004
yellow_5, 0.004
tomato_5, 0.004
indianred_0, 0.004
darkolivegreen_7, 0.003
lightcoral_1, 0.003
firebrick_0, 0.003
black_14, 0.003
mistyrose_8, 0.003
mistyrose_10, 0.003
pink_5, 0.003
indigo_12, 0.003
gold_4, 0.003
red_13, 0.003
firebrick_7, 0.003
mistyrose_2, 0.003
firebrick_9, 0.003
tomato_6, 0.003
aquamarine_0, 0.003
firebrick_2, 0.003
green_3, 0.003
yellow_6, 0.003
indigo_0, 0.003
mistyrose_3, 0.002
lightcoral_2, 0.002
tomato_2, 0.002
yellow_4, 0.002
mistyrose_5, 0.002
yellow_2, 0.002
tomato_0, 0.002
firebrick_6, 0.002
mistyrose_6, 0.002
firebrick_8, 0.002
chartreuse_1, 0.002
lightcoral_0, 0.002
green_5, 0.002
firebrick_5, 0.002
red_1, 0.002
greenyellow_5, 0.002
tomato_4, 0.002
yellow_7, 0.002
papayawhip_4, 0.002
gold_2, 0.002
green_8, 0.002
dimgray_3, 0.002
papayawhip_0, 0.002
greenyellow_6, 0.002
darkolivegreen_2, 0.002
seashell_5, 0.002
gold_0, 0.002
firebrick_3, 0.002
black_13, 0.002
gold_9, 0.002
aquamarine_1, 0.001
indianred_6, 0.001
black_9, 0.001
red_14, 0.001
gold_8, 0.001
hotpink_3, 0.001
indigo_1, 0.001
gold_6, 0.001
gold_3, 0.001
lightcoral_5, 0.001
lightcoral_3, 0.001
red_7, 0.001
orangered_1, 0.001
orangered_7, 0.001
mediumspringgreen_4, 0.001
aquamarine_2, 0.001
chartreuse_2, 0.001
lightcoral_6, 0.001
orangered_3, 0.001
orangered_2, 0.001
orangered_5, 0.001
burlywood_6, 0.001
peachpuff_2, 0.001
indianred_2, 0.001
yellow_0, 0.001
green_0, 0.001
gold_10, 0.001
mistyrose_7, 0.001
greenyellow_4, 0.001
seashell_4, 0.001
gold_12, 0.001
indianred_7, 0.001
peachpuff_3, 0.001
indianred_3, 0.001
yellow_1, 0.001
red_4, 0.001
indigo_9, 0.001
firebrick_1, 0.001
red_6, 0.001
dimgray_0, 0.001
pink_7, 0.001
springgreen_2, 0.001
darkslategrey_7, 0.001
darkslategrey_0, 0.001
palegreen_5, 0.001
burlywood_0, 0.001
darkseagreen_0, 0.001
darkslategrey_2, 0.001
dimgray_2, 0.001
burlywood_5, 0.001
pink_6, 0.001
orangered_0, 0.001
mediumspringgreen_1, 0.001
tomato_7, 0.001
lightcoral_4, 0.001
pink_3, 0.001
indigo_10, 0.001
palegreen_3, 0.001
red_2, 0.001
indianred_8, 0.001
seashell_1, 0.001
darkslategrey_1, 0.001
red_8, 0.001
pink_0, 0.001
red_12, 0.001
mediumspringgreen_3, 0.001
tomato_8, 0.000
black_10, 0.000
darkolivegreen_10, 0.000
tomato_3, 0.000
seashell_0, 0.000
black_1, 0.000
gold_5, 0.000
darkolivegreen_3, 0.000
hotpink_11, 0.000
red_3, 0.000
firebrick_4, 0.000
green_13, 0.000
chartreuse_0, 0.000
pink_4, 0.000
gold_7, 0.000
darkolivegreen_5, 0.000
green_14, 0.000
gold_1, 0.000
indigo_6, 0.000
yellow_11, 0.000
black_0, 0.000
palegreen_2, 0.000
burlywood_2, 0.000
yellow_10, 0.000
orangered_4, 0.000
indigo_8, 0.000
mistyrose_9, 0.000
indianred_5, 0.000
pink_9, 0.000
seashell_3, 0.000
indigo_3, 0.000
papayawhip_2, 0.000
green_12, 0.000
red_9, 0.000
black_2, 0.000
hotpink_5, 0.000
firebrick_10, 0.000
hotpink_2, 0.000
indigo_5, 0.000
indigo_11, 0.000
lightcoral_7, 0.000
chartreuse_3, 0.000
darkslategrey_5, 0.000
greenyellow_2, 0.000
black_4, 0.000
hotpink_0, 0.000
palegreen_1, 0.000
tomato_1, 0.000
indianred_4, 0.000
black_8, 0.000
gold_11, 0.000
indianred_10, 0.000
indigo_2, 0.000
darkslategrey_3, 0.000
burlywood_4, 0.000
blanchedalmond_3, 0.000
